ignore,id,doc,toc,year,filcount,discount
212,12083,1,2,1986,0,1
213,12083,1,3,1986,620,929
214,12083,1,9,1986,554,770
215,12083,1,4,1986,105,31
216,12083,1,5,1986,365,434
217,12119,1,8,1986,0,0
218,12119,1,7,1986,3,0
219,12119,1,1,1986,12,22
220,12119,1,6,1986,7,13
221,12119,1,2,1986,0,0
222,12119,1,3,1986,38,60
223,12119,1,9,1986,51,87
224,12119,1,4,1986,0,1
225,12119,1,5,1986,27,85
226,12101,1,8,1986,18,10
227,12101,1,7,1986,8,2
228,12101,1,1,1986,233,171
229,12101,1,6,1986,169,91
230,12101,1,2,1986,3,1
231,12101,1,3,1986,413,361
232,12101,1,9,1986,768,662
233,12101,1,4,1986,49,28
234,12101,1,5,1986,381,463
235,12103,1,8,1986,93,10
236,12103,1,7,1986,67,12
237,12103,1,1,1986,1221,1013
238,12103,1,6,1986,653,749
239,12103,1,2,1986,25,3
240,12103,1,3,1986,3162,2793
241,12103,1,9,1986,3010,2734
242,12103,1,4,1986,156,85
243,12103,1,5,1986,1749,1808
244,12035,1,8,1986,0,0
245,12035,1,7,1986,2,0
246,12035,1,1,1986,14,17
247,12035,1,6,1986,13,22
248,12035,1,2,1986,0,1
249,12035,1,3,1986,38,51
250,12035,1,9,1986,49,62
251,12035,1,4,1986,0,0
252,12035,1,5,1986,63,61
253,12107,1,8,1986,3,0
254,12107,1,7,1986,0,0
255,12107,1,1,1986,41,22
256,12107,1,6,1986,16,34
257,12107,1,2,1986,2,0
258,12107,1,3,1986,121,106
259,12107,1,9,1986,181,192
260,12107,1,4,1986,4,2
261,12107,1,5,1986,35,31
262,12109,1,8,1986,1,0
263,12109,1,7,1986,2,0
264,12109,1,1,1986,47,12
265,12109,1,6,1986,38,36
266,12109,1,2,1986,4,1
267,12109,1,3,1986,113,60
268,12109,1,9,1986,169,84
269,12109,1,4,1986,0,2
270,12109,1,5,1986,197,211
271,12127,1,8,1986,19,25
272,12127,1,7,1986,16,7
273,12127,1,1,1986,669,498
274,12127,1,6,1986,277,277
275,12127,1,2,1986,3,3
276,12127,1,3,1986,1074,701
277,12127,1,9,1986,943,855
278,12127,1,4,1986,9,22
279,12127,1,5,1986,610,573
280,12001,1,8,1986,21,16
281,12001,1,7,1986,16,1
282,12001,1,1,1986,133,66
283,12001,1,6,1986,80,118
284,12001,1,2,1986,0,4
285,12001,1,3,1986,548,562
286,12001,1,9,1986,456,483
287,12001,1,4,1986,5,31
288,12001,1,5,1986,207,269
289,12003,1,8,1986,0,3
290,12003,1,7,1986,0,0
291,12003,1,1,1986,7,0
292,12003,1,6,1986,0,0
293,12003,1,2,1986,1,0
294,12003,1,3,1986,6,1
295,12003,1,9,1986,36,16
296,12003,1,4,1986,2,0
297,12003,1,5,1986,68,29
298,12007,1,8,1986,0,0
299,12007,1,7,1986,0,0
300,12007,1,1,1986,14,4
301,12007,1,6,1986,24,23
302,12007,1,2,1986,0,4
303,12007,1,3,1986,17,21
304,12007,1,9,1986,31,26
305,12007,1,4,1986,0,0
306,12007,1,5,1986,156,113
307,12041,1,8,1986,0,0
308,12041,1,7,1986,1,0
309,12041,1,1,1986,0,1
310,12041,1,6,1986,5,0
311,12041,1,2,1986,0,0
312,12041,1,3,1986,6,13
313,12041,1,9,1986,46,36
314,12041,1,4,1986,0,0
315,12041,1,5,1986,7,8
316,12075,1,8,1986,0,0
317,12075,1,7,1986,1,0
318,12075,1,1,1986,5,1
319,12075,1,6,1986,6,10
320,12075,1,2,1986,0,0
321,12075,1,3,1986,40,35
322,12075,1,9,1986,78,88
323,12075,1,4,1986,2,1
324,12075,1,5,1986,49,19
325,12125,1,8,1986,0,0
326,12125,1,7,1986,0,0
327,12125,1,1,1986,6,0
328,12125,1,6,1986,27,8
329,12125,1,2,1986,0,0
330,12125,1,3,1986,1,0
331,12125,1,9,1986,4,2
332,12125,1,4,1986,0,0
333,12125,1,5,1986,40,19
334,12095,1,8,1986,83,63
335,12095,1,7,1986,28,4
336,12095,1,1,1986,744,526
337,12095,1,6,1986,733,609
338,12095,1,2,1986,6,2
339,12095,1,3,1986,3281,2601
340,12095,1,9,1986,2149,1722
341,12095,1,4,1986,47,35
342,12095,1,5,1986,974,1307
343,12097,1,8,1986,6,5
344,12097,1,7,1986,4,2
345,12097,1,1,1986,70,31
346,12097,1,6,1986,31,34
347,12097,1,2,1986,1,1
348,12097,1,3,1986,189,138
349,12097,1,9,1986,355,310
350,12097,1,4,1986,119,37
351,12097,1,5,1986,139,120
352,12049,1,8,1986,0,0
353,12049,1,7,1986,0,0
354,12049,1,1,1986,13,14
355,12049,1,6,1986,5,4
356,12049,1,2,1986,0,0
357,12049,1,3,1986,39,39
358,12049,1,9,1986,40,50
359,12049,1,4,1986,14,4
360,12049,1,5,1986,38,30
361,12055,1,8,1986,1,2
362,12055,1,7,1986,3,0
