ignore,id,doc,toc,variable,value
245,12035,1,7,1986,0
246,12035,1,1,1986,17
247,12035,1,6,1986,22
248,12035,1,2,1986,1
249,12035,1,3,1986,51
250,12035,1,9,1986,62
251,12035,1,4,1986,0
252,12035,1,5,1986,61
253,12107,1,8,1986,0
254,12107,1,7,1986,0
255,12107,1,1,1986,22
256,12107,1,6,1986,34
257,12107,1,2,1986,0
258,12107,1,3,1986,106
259,12107,1,9,1986,192
260,12107,1,4,1986,2
261,12107,1,5,1986,31
262,12109,1,8,1986,0
263,12109,1,7,1986,0
264,12109,1,1,1986,12
265,12109,1,6,1986,36
266,12109,1,2,1986,1
267,12109,1,3,1986,60
268,12109,1,9,1986,84
269,12109,1,4,1986,2
270,12109,1,5,1986,211
271,12127,1,8,1986,25
272,12127,1,7,1986,7
273,12127,1,1,1986,498
274,12127,1,6,1986,277
275,12127,1,2,1986,3
276,12127,1,3,1986,701
277,12127,1,9,1986,855
278,12127,1,4,1986,22
279,12127,1,5,1986,573
280,12001,1,8,1986,16
281,12001,1,7,1986,1
282,12001,1,1,1986,66
283,12001,1,6,1986,118
284,12001,1,2,1986,4
285,12001,1,3,1986,562
286,12001,1,9,1986,483
287,12001,1,4,1986,31
288,12001,1,5,1986,269
289,12003,1,8,1986,3
290,12003,1,7,1986,0
291,12003,1,1,1986,0
292,12003,1,6,1986,0
293,12003,1,2,1986,0
294,12003,1,3,1986,1
295,12003,1,9,1986,16
296,12003,1,4,1986,0
297,12003,1,5,1986,29
298,12007,1,8,1986,0
299,12007,1,7,1986,0
300,12007,1,1,1986,4
301,12007,1,6,1986,23
302,12007,1,2,1986,4
303,12007,1,3,1986,21
304,12007,1,9,1986,26
305,12007,1,4,1986,0
306,12007,1,5,1986,113
307,12041,1,8,1986,0
308,12041,1,7,1986,0
309,12041,1,1,1986,1
310,12041,1,6,1986,0
311,12041,1,2,1986,0
312,12041,1,3,1986,13
313,12041,1,9,1986,36
314,12041,1,4,1986,0
315,12041,1,5,1986,8
316,12075,1,8,1986,0
317,12075,1,7,1986,0
318,12075,1,1,1986,1
319,12075,1,6,1986,10
320,12075,1,2,1986,0
321,12075,1,3,1986,35
322,12075,1,9,1986,88
323,12075,1,4,1986,1
324,12075,1,5,1986,19
325,12125,1,8,1986,0
326,12125,1,7,1986,0
327,12125,1,1,1986,0
328,12125,1,6,1986,8
329,12125,1,2,1986,0
330,12125,1,3,1986,0
331,12125,1,9,1986,2
332,12125,1,4,1986,0
333,12125,1,5,1986,19
