id,group,year,population
12039,12,1986,1682
12039,13,1986,495
12041,1,1986,128
12041,2,1986,420
12041,3,1986,553
12041,4,1986,532
12041,5,1986,898
12041,6,1986,701
12041,7,1986,1081
12041,8,1986,1052
12041,9,1986,790
12041,10,1986,858
12041,11,1986,678
12041,12,1986,271
12041,13,1986,79
12043,1,1986,73
12043,2,1986,393
12043,3,1986,473
12043,4,1986,461
12043,5,1986,487
12043,6,1986,382
12043,7,1986,858
12043,8,1986,768
12043,9,1986,744
12043,10,1986,953
12043,11,1986,823
12043,12,1986,341
12043,13,1986,62
12045,1,1986,153
12045,2,1986,616
12045,3,1986,806
12045,4,1986,810
12045,5,1986,945
12045,6,1986,790
12045,7,1986,1697
12045,8,1986,1367
12045,9,1986,1224
12045,10,1986,1316
12045,11,1986,975
12045,12,1986,474
12045,13,1986,113
12047,1,1986,178
12047,2,1986,577
12047,3,1986,764
12047,4,1986,802
12047,5,1986,854
12047,6,1986,785
12047,7,1986,1576
12047,8,1986,1179
12047,9,1986,812
12047,10,1986,774
12047,11,1986,669
12047,12,1986,371
12047,13,1986,93
12049,1,1986,380
12049,2,1986,1276
12049,3,1986,1671
12049,4,1986,1599
12049,5,1986,1692
12049,6,1986,1455
12049,7,1986,2916
12049,8,1986,2328
12049,9,1986,1799
12049,10,1986,1901
12049,11,1986,1700
12049,12,1986,808
12049,13,1986,208
12051,1,1986,497
12051,2,1986,1642
12051,3,1986,2038
12051,4,1986,1959
12051,5,1986,1987
12051,6,1986,1803
12051,7,1986,3716
12051,8,1986,2902
12051,9,1986,2166
12051,10,1986,2060
12051,11,1986,1511
12051,12,1986,695
12051,13,1986,161
12053,1,1986,694
12053,2,1986,3236
12053,3,1986,4020
12053,4,1986,3881
12053,5,1986,4210
12053,6,1986,3462
12053,7,1986,8315
12053,8,1986,8124
12053,9,1986,6667
12053,10,1986,12404
12053,11,1986,15852
12053,12,1986,5861
12053,13,1986,1125
12055,1,1986,691
12055,2,1986,2504
12055,3,1986,3225
12055,4,1986,3039
12055,5,1986,3246
12055,6,1986,2852
12055,7,1986,6541
12055,8,1986,5524
12055,9,1986,4734
12055,10,1986,8491
12055,11,1986,11547
12055,12,1986,5777
12055,13,1986,1226
12057,1,1986,12261
12057,2,1986,43709
12057,3,1986,52981
12057,4,1986,49692
12057,5,1986,57873
12057,6,1986,68158
12057,7,1986,144956
12057,8,1986,110143
12057,9,1986,74438
12057,10,1986,70249
12057,11,1986,57002
12057,12,1986,28493
12057,13,1986,7490
12059,1,1986,175
12059,2,1986,837
12059,3,1986,1040
12059,4,1986,1143
12059,5,1986,1270
12059,6,1986,1046
12059,7,1986,2219
12059,8,1986,1998
12059,9,1986,1574
12059,10,1986,1608
12059,11,1986,1398
12059,12,1986,747
12059,13,1986,186
12061,1,1986,951
12061,2,1986,3474
12061,3,1986,4324
12061,4,1986,4175
12061,5,1986,4743
12061,6,1986,4498
12061,7,1986,10432
12061,8,1986,8899
12061,9,1986,6938
12061,10,1986,10588
12061,11,1986,12640
12061,12,1986,5904
12061,13,1986,1303
12063,1,1986,502
12063,2,1986,2169
12063,3,1986,2845
12063,4,1986,2863
12063,5,1986,4050
12063,6,1986,3300
12063,7,1986,6186
12063,8,1986,5164
12063,9,1986,3891
12063,10,1986,3970
12063,11,1986,3432
12063,12,1986,1941
12063,13,1986,529
12065,1,1986,175
12065,2,1986,676
12065,3,1986,909
12065,4,1986,895
12065,5,1986,913
12065,6,1986,743
12065,7,1986,1580
12065,8,1986,1331
12065,9,1986,1008
12065,10,1986,1035
12065,11,1986,873
12065,12,1986,519
12065,13,1986,149
12067,1,1986,55
12067,2,1986,286
12067,3,1986,354
12067,4,1986,350
12067,5,1986,375
12067,6,1986,401
12067,7,1986,918
12067,8,1986,646
12067,9,1986,448
12067,10,1986,458
12067,11,1986,353
12067,12,1986,160
12067,13,1986,36
12069,1,1986,1589
12069,2,1986,5889
12069,3,1986,7260
12069,4,1986,7054
12069,5,1986,7773
12069,6,1986,6877
12069,7,1986,16180
12069,8,1986,14212
12069,9,1986,11669
12069,10,1986,17388
12069,11,1986,21373
12069,12,1986,11225
12069,13,1986,2599
12071,1,1986,3556
12071,2,1986,13099
12071,3,1986,15315
12071,4,1986,14197
12071,5,1986,15528
12071,6,1986,16548
12071,7,1986,39834
12071,8,1986,32642
12071,9,1986,24965
12071,10,1986,37412
12071,11,1986,42981
12071,12,1986,20087
12071,13,1986,4333
12073,1,1986,2456
12073,2,1986,8804
12073,3,1986,11114
12073,4,1986,10029
12073,5,1986,16302
12073,6,1986,26533
12073,7,1986,32796
12073,8,1986,23940
12073,9,1986,13625
12073,10,1986,11188
12073,11,1986,8065
12073,12,1986,3866
12073,13,1986,1087
12075,1,1986,318
12075,2,1986,1256
12075,3,1986,1663
12075,4,1986,1625
12075,5,1986,1701
12075,6,1986,1420
12075,7,1986,3251
12075,8,1986,2907
12075,9,1986,2394
12075,10,1986,2985
12075,11,1986,2799
12075,12,1986,1183
12075,13,1986,269
12077,1,1986,65
12077,2,1986,277
12077,3,1986,351
12077,4,1986,345
12077,5,1986,393
12077,6,1986,433
12077,7,1986,915
12077,8,1986,678
12077,9,1986,470
12077,10,1986,483
12077,11,1986,357
12077,12,1986,176
12077,13,1986,39
12079,1,1986,267
12079,2,1986,982
12079,3,1986,1220
12079,4,1986,1192
12079,5,1986,1407
12079,6,1986,1220
12079,7,1986,2414
12079,8,1986,1851
12079,9,1986,1452
12079,10,1986,1476
12079,11,1986,1285
12079,12,1986,719
12079,13,1986,207
12081,1,1986,2325
12081,2,1986,8423
12081,3,1986,9953
12081,4,1986,9183
12081,5,1986,10013
12081,6,1986,10835
12081,7,1986,25458
12081,8,1986,20456
12081,9,1986,15300
12081,10,1986,22504
12081,11,1986,29202
12081,12,1986,17501
12081,13,1986,4748
12083,1,1986,2349
12083,2,1986,8366
12083,3,1986,10528
12083,4,1986,10157
12083,5,1986,10650
12083,6,1986,10149
12083,7,1986,23529
12083,8,1986,19873
12083,9,1986,15562
12083,10,1986,21320
12083,11,1986,22879
12083,12,1986,9698
12083,13,1986,2031
12085,1,1986,1044
12085,2,1986,3438
12085,3,1986,4304
12085,4,1986,3979
12085,5,1986,4640
12085,6,1986,4875
12085,7,1986,11666
12085,8,1986,10068
12085,9,1986,7577
12085,10,1986,11364
12085,11,1986,14125
12085,12,1986,7087
12085,13,1986,1465
12087,1,1986,964
12087,2,1986,3098
12087,3,1986,3585
12087,4,1986,3147
12087,5,1986,3701
12087,6,1986,5337
12087,7,1986,13275
12087,8,1986,10975
12087,9,1986,7986
12087,10,1986,9342
12087,11,1986,7477
12087,12,1986,3001
12087,13,1986,576
12089,1,1986,655
12089,2,1986,2357
12089,3,1986,3057
12089,4,1986,2983
12089,5,1986,3248
12089,6,1986,2790
12089,7,1986,6671
12089,8,1986,5827
12089,9,1986,4227
12089,10,1986,3632
12089,11,1986,2398
12089,12,1986,1053
12089,13,1986,235
12091,1,1986,2369
12091,2,1986,8183
12091,3,1986,9856
12091,4,1986,9031
12091,5,1986,10523
12091,6,1986,12881
12091,7,1986,25906
12091,8,1986,18771
12091,9,1986,13105
12091,10,1986,11874
12091,11,1986,7336
12091,12,1986,2767
12091,13,1986,752
12093,1,1986,473
12093,2,1986,1689
12093,3,1986,1982
12093,4,1986,1924
12093,5,1986,2286
12093,6,1986,1887
12093,7,1986,3958
12093,8,1986,3178
12093,9,1986,2425
12093,10,1986,2917
12093,11,1986,2657
12093,12,1986,1085
12093,13,1986,210
12095,1,1986,9279
12095,2,1986,33144
12095,3,1986,38528
12095,4,1986,35873
12095,5,1986,46769
12095,6,1986,58035
12095,7,1986,116142
12095,8,1986,79537
12095,9,1986,53146
12095,10,1986,51074
12095,11,1986,37803
12095,12,1986,18322
12095,13,1986,5505
12097,1,1986,1343
12097,2,1986,4697
12097,3,1986,5616
12097,4,1986,5342
12097,5,1986,5870
