name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Circuit Civil,238510,315847,264118,389371,556125,506849,302858,182430,163935,167668,182305,189637,176679,168283,161440,155882,155209,142470,132947,129646,132648,153990,177523,181365,175978,164108,157405,154727
Circuit Criminal,181016,192027,195336,197344,204568,225967,233703,225259,211965,193268,187397,181635,181237,183080,188020,192942,184163,182157,167541,162450,154680,160050,167761,174985,182127,167564,142391,130562
County Civil,417678,463978,468589,461007,516515,561024,576150,507063,460147,434848,471752,453324,431997,382229,342242,337179,341479,328782,306776,304591,295881,299557,329268,319055,331375,324380,328109,328576
County Criminal,360949,370071,396033,410122,458204,483465,526102,516868,502012,481461,488928,500639,504934,505320,503040,510708,502195,495012,464603,447686,432808,460087,469986,498107,478893,435615,426877,400667
Family Court,290396,290894,352859,349884,337810,342784,356350,360297,370448,370813,366358,378665,366025,352837,333811,334272,335152,327506,329550,329170,310255,290015,276308,274819,258177,236895,224388,214363
Probate,111738,103763,100385,99592,98431,100699,103756,108242,112690,108921,103287,99815,95865,95053,91522,91149,90293,86350,82674,82290,78903,76098,74661,75418,76345,77184,75771,72755
Traffic,2137142,2351061,2166143,2104498,2325491,2464020,2172148,2109880,1932316,1820290,1789280,1567685,1304265,1067129,1071769,1074968,1024035,1005816,997647,992600,1000118,1088304,1191238,1212640,1111014,1026655,959571,1122535
