symbol,date,price
Youth 15-24,2009,2415671
Youth 15-24,2010,2437270
Youth 15-24,2011,2442802
Youth 15-24,2012,2459267
Youth 15-24,2013,2482735
Youth 15-24,2014,2499991
Youth 15-24,2015,2518233
Youth 15-24,2016,2528491
Youth 15-24,2017,2538445
Youth 15-24,2018,2547290
Youth 15-24,2019,2555070
Youth 15-24,2020,2568746
