cid,cty,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
12067,"Lafayette, FL",10747,9907,10217,11706,12396,12676,13697,14056,14474,13804,14997,16690,16861,17446,15742,16325,15071,15563,17315,16854,16222,18662,19871,18543,19171,19590,19995,20294
12069,"Lake, FL",14465,14906,15588,17157,17583,17442,18363,19181,19970,21181,22296,23306,24688,25594,26848,27761,27611,28624,29598,30556,31951,33186,33370,31733,32612,33629,34445,34782
12071,"Lee, FL",16123,16964,18162,20190,20438,20440,21228,21933,22715,24174,24961,25853,27391,28272,30014,32013,32421,33238,36303,38649,41536,41367,42027,40471,40667,42777,42386,42795
12073,"Leon, FL",14045,14985,16151,17474,18484,18851,19742,20452,21157,22436,23322,23981,25567,26778,27481,29694,29548,30282,32102,34150,35466,36589,36695,35560,37420,39857,37644,38345
12075,"Levy, FL",10233,10643,11713,12417,12995,13506,14419,14902,15377,15763,16655,17394,18235,18682,19196,21026,20179,21110,22808,24331,24978,25406,25518,25129,26865,27954,28114,29002
12077,"Liberty, FL",9689,9956,10873,11825,12598,12689,13558,14015,14069,14471,15183,15667,16124,16830,17799,19648,19977,20809,22082,22492,23334,24330,24361,23785,24652,24892,24833,25062
12079,"Madison, FL",9591,9971,10704,11117,11844,12159,12580,12812,13359,14287,14879,15600,16063,16762,17449,18421,18504,19223,20308,21545,22086,22877,23408,23170,24228,25221,25695,26557
12081,"Manatee, FL",15919,16745,17699,19720,20323,20344,21467,22155,23100,25028,26048,27200,29346,30516,32067,33172,33271,33615,36109,38844,41021,42075,41007,38341,39731,42550,41844,42104
12083,"Marion, FL",12574,13242,14185,15301,15814,15723,16438,17273,17936,18804,19780,20517,21824,22641,23807,24472,24394,25425,27133,29161,31185,31960,32041,31030,32293,34810,34027,34437
12085,"Martin, FL",20812,22152,24571,27806,29735,29576,30607,31496,31974,34849,36279,38001,40301,41842,43764,44971,43522,44396,48728,52018,58267,59733,57187,49710,50485,52545,54317,54205
12086,"Miami-Dade, FL",15155,15993,16815,17968,18423,18651,19182,20124,20514,21345,21969,22558,23890,24654,26210,27583,28444,29185,30780,32950,35833,36646,37025,35329,36592,38242,39467,39880
12087,"Monroe, FL",16634,17732,19159,21816,23123,23336,24393,26019,26196,28289,29576,31250,34255,35098,38757,39134,38952,41018,45889,52060,59026,61962,60092,53712,55362,55736,58430,57829
12089,"Nassau, FL",15857,16048,16823,18056,18635,19101,19876,21184,21717,23146,24785,25979,27596,28821,31102,32274,32532,33883,36975,39966,42904,44862,45220,41906,44409,46183,45723,45817
12091,"Okaloosa, FL",14359,15284,16266,17552,18747,19450,20545,21247,21751,23134,24244,25533,26828,28343,29345,30659,33015,35473,36642,39496,42167,43805,44047,42044,43383,44479,44903,45277
12093,"Okeechobee, FL",11064,11425,12431,13018,13641,13715,14003,14473,14901,15647,16292,16625,16997,17354,17881,19171,19052,19562,21509,22606,23735,24791,25085,24711,25105,26315,26517,27423
12095,"Orange, FL",15570,16286,17531,18617,19015,18756,19389,20128,20590,21745,22812,23712,25098,26292,27867,28213,28809,29650,31196,33170,35294,35859,35881,33683,34794,36333,37479,37844
12097,"Osceola, FL",12894,13634,14554,15323,15114,14565,15215,15582,16125,16738,17381,18077,19037,19928,20826,21816,21312,21783,22386,23944,24712,25423,25839,25042,26162,26823,26865,27019
12099,"Palm Beach, FL",21994,23447,25308,27830,29653,30987,32056,33125,33703,35576,37350,38220,40462,41360,44596,44982,44949,44934,48671,51831,56336,59139,57321,50938,51111,54616,57252,57985
12101,"Pasco, FL",13146,13515,14417,15500,15876,15941,16616,17148,17844,18963,19597,20497,21282,21986,23272,23999,24478,25369,26249,27252,28645,29999,30249,29569,30944,32479,32318,32975
12103,"Pinellas, FL",17609,18223,19250,21421,21528,21549,22429,24011,24390,25897,27072,28476,29942,30709,32973,33314,34317,35366,37534,40187,42674,43846,43602,40932,43197,45843,45037,45574
12105,"Polk, FL",12858,13642,14710,15830,16191,16511,17154,17868,18938,20007,20896,21276,23002,23858,24582,25467,25686,26658,28792,30658,31867,32588,32758,31307,32893,34873,33647,34393
12107,"Putnam, FL",10677,10786,11690,12041,12560,12994,14067,14804,15030,16142,16288,16764,17349,18084,19152,20000,20472,21774,22349,23434,24383,25508,26479,26312,27725,28379,28090,28594
12109,"St. Johns, FL",16955,18530,20543,22306,23345,23795,25661,26219,27154,28856,30410,32913,35861,37332,39417,39218,38784,39252,43083,45977,49498,51041,50935,46869,49029,51056,54156,54082
12111,"St. Lucie, FL",12778,13414,15120,15921,15870,16002,16261,16883,17489,18650,19381,20037,21132,21697,23098,24014,24066,24455,26983,27683,28282,28926,29941,28832,29742,31289,30932,31182
12113,"Santa Rosa, FL",13774,14295,15016,15755,16486,17265,18106,18669,19462,20121,21345,22106,22856,23521,25167,26421,26362,27382,29403,31068,33300,34541,35031,34728,35337,36779,37542,37739
12115,"Sarasota, FL",20736,22068,23641,27303,27957,27665,29014,29684,31278,32073,33582,35381,37782,38684,41315,41757,42385,43316,47040,50082,54360,55755,55318,50189,51177,54569,56244,56661
12117,"Seminole, FL",15742,16525,18113,19389,19761,21465,22307,23181,23839,24747,25992,27337,29134,30489,31966,33390,34070,35311,37925,40176,42579,44152,43435,40022,40112,41066,42484,42986
12119,"Sumter, FL",9941,10518,11329,12141,12425,12760,13526,13889,14336,14839,14836,14922,15549,15971,16508,18029,18209,19630,21705,23515,25103,25920,27601,27838,30094,34124,36921,37206
12121,"Suwannee, FL",10746,11120,12626,13761,14743,15001,15723,16166,16727,17843,18550,18571,19480,19791,20013,21603,21688,22349,23894,24836,25867,27554,27364,26271,27383,27586,27809,28501
12123,"Taylor, FL",11329,11380,12479,13138,13718,13784,14859,15225,16374,16803,17030,17563,18306,18529,19764,20453,20516,20257,21819,23240,23909,24710,24822,24696,26370,27557,26790,27395
12125,"Union, FL",7625,8208,9223,9666,10041,9636,10307,10511,10637,11493,11757,12782,13155,13479,14118,14570,14750,15976,16723,17372,18418,18390,18156,18884,19411,20081,19985,20321
12127,"Volusia, FL",14057,14584,15430,16435,16730,16745,17275,17869,18499,19577,20555,21362,22267,22952,24298,25658,26075,26866,28844,30108,31656,33010,33219,31530,32763,33659,34182,34530
12129,"Wakulla, FL",11176,11790,12889,14075,14636,14856,15160,15453,16026,18236,19203,20324,21024,21553,23275,24674,23996,24656,25766,26997,28237,29594,30723,28873,29207,29974,30256,30699
12131,"Walton, FL",10009,10010,10805,11618,12645,13065,13978,14923,15462,16223,16755,16960,17871,18527,19723,21326,23833,23505,26042,28604,30916,31725,32477,31231,33456,36498,38072,37976
12133,"Washington, FL",9734,10122,10854,11517,12214,12930,13955,14194,14876,15419,15789,16387,17101,17605,18232,18838,19285,20297,21488,22983,23632,24660,23971,23741,24760,25323,24703,25248
